layer,input,output,add,mult,fp_ops
conv1,78400,1152000,28800000,28800000,57600000
pool1,1152000,288000,1152000,288000,1440000
conv2,288000,320000,160000000,160000000,320000000
pool2,320000,80000,320000,80000,400000
ip1,80000,50000,40000000,40000000,80000000
relu1,50000,50000,50000,0,100000
ip2,50000,1000,500000,500000,1000000
prob,1000,1000,0,1000,1000
argmax,1000,100,1000,0,1000
