layer,input,output,add,mult,fp_ops
conv1,69312,645248,234225024,234225024,468450048
pool2,645248,161312,1411200,156800,1568000
conv3,156800,63504,159418368,159418368,318836736
local4,61504,48400,60466176,60466176,120932352
local5,46656,10000,7225344,7225344,14450688
local6,9216,7056,2560000,2560000,5120000
fc7,6400,4096,26214400,26214400,52428800
fc8,4096,83,339968,339968,679936
prob,83,83,83,0,83
argmax,83,1,83,0,83
