layer,input,output,add,mult,fp_ops
conv1,7840,115200,2880000,2880000,5760000
pool1,115200,28800,115200,28800,144000
conv2,28800,32000,16000000,16000000,32000000
pool2,32000,8000,32000,8000,40000
ip1,8000,5000,4000000,4000000,8000000
relu1,5000,5000,5000,0,5000
ip2,5000,100,50000,50000,100000
prob,100,100,0,100,100
argmax,100,10,100,0,100
