layer,gflops
pool,57.018181818181816
conv,7611.8850370370374
argmax,0.011223344556677894
drop,14.336
relu,12.543999999999999
fc,69.600564198299097
sig,256.53500522466044
htanh,2.0999999999999996
local,4.814167971482826
prob,0.11363636363636362
norm,21.405224327018946
