layer,batch,channel,height,width,num_output,kernel_size,stride,out_dim,fpops,lat,gflops
local,1,3,96,96,16,3,1,94.0,7634304.0,1.4180,5.38385331453
local,1,3,96,96,16,3,2,47.5,1949400.0,0.5180,3.76332046332
local,1,3,96,96,16,3,4,24.25,508086.0,0.4220,1.20399526066
local,1,3,96,96,16,5,1,92.0,20313600.0,2.0410,9.95276825086
local,1,3,96,96,16,5,2,46.5,5189400.0,1.4060,3.69089615932
local,1,3,96,96,16,5,4,23.75,1353750.0,0.5080,2.66486220472
local,1,3,96,96,16,7,1,90.0,38102400.0,2.9590,12.8767826969
local,1,3,96,96,16,7,2,45.5,9738456.0,1.7940,5.42834782609
local,1,3,96,96,16,7,4,23.25,2542806.0,0.6470,3.93014837713
local,1,3,96,96,16,9,1,88.0,60217344.0,4.0480,14.875826087
local,1,3,96,96,16,9,2,44.5,15398424.0,2.3110,6.66309995673
local,1,3,96,96,16,9,4,22.75,4024566.0,0.8410,4.7854530321
local,1,3,96,96,24,3,1,94.0,11451456.0,1.7430,6.56996901893
local,1,3,96,96,24,3,2,47.5,2924100.0,0.6790,4.30648011782
local,1,3,96,96,24,3,4,24.25,762129.0,0.5710,1.3347267951
local,1,3,96,96,24,5,1,92.0,30470400.0,2.6600,11.455037594
local,1,3,96,96,24,5,2,46.5,7784100.0,1.7640,4.41275510204
local,1,3,96,96,24,5,4,23.75,2030625.0,0.7000,2.90089285714
local,1,3,96,96,24,7,1,90.0,57153600.0,4.0200,14.2173134328
local,1,3,96,96,24,7,2,45.5,14607684.0,2.3290,6.27208415629
local,1,3,96,96,24,7,4,23.25,3814209.0,0.9160,4.16398362445
local,1,3,96,96,24,9,1,88.0,90326016.0,5.6480,15.9925665722
local,1,3,96,96,24,9,2,44.5,23097636.0,3.0860,7.48465197667
local,1,3,96,96,24,9,4,22.75,6036849.0,1.2170,4.96043467543
local,1,3,96,96,32,3,1,94.0,15268608.0,2.1020,7.26384776403
local,1,3,96,96,32,3,2,47.5,3898800.0,0.8650,4.50728323699
local,1,3,96,96,32,3,4,24.25,1016172.0,0.7290,1.39392592593
local,1,3,96,96,32,5,1,92.0,40627200.0,3.3240,12.2223826715
local,1,3,96,96,32,5,2,46.5,10378800.0,1.5020,6.90998668442
local,1,3,96,96,32,5,4,23.75,2707500.0,0.8980,3.01503340757
local,1,3,96,96,32,7,1,90.0,76204800.0,5.1450,14.8114285714
local,1,3,96,96,32,7,2,45.5,19476912.0,2.8900,6.73941591696
local,1,3,96,96,32,7,4,23.25,5085612.0,1.1660,4.36158833619
local,1,3,96,96,32,9,1,88.0,120434688.0,7.2770,16.5500464477
local,1,3,96,96,32,9,2,44.5,30796848.0,4.1110,7.4913276575
local,1,3,96,96,32,9,4,22.75,8049132.0,1.5590,5.16300962155
local,1,3,96,96,48,3,1,94.0,22902912.0,2.7690,8.27118526544
local,1,3,96,96,48,3,2,47.5,5848200.0,1.2430,4.7049074819
local,1,3,96,96,48,3,4,24.25,1524258.0,1.0380,1.4684566474
local,1,3,96,96,48,5,1,92.0,60940800.0,4.6170,13.1992202729
local,1,3,96,96,48,5,2,46.5,15568200.0,2.2330,6.97187639946
local,1,3,96,96,48,5,4,23.75,4061250.0,1.2870,3.15559440559
local,1,3,96,96,48,7,1,90.0,114307200.0,7.5980,15.0443801
local,1,3,96,96,48,7,2,45.5,29215368.0,3.9590,7.37948168729
local,1,3,96,96,48,7,4,23.25,7628418.0,1.7010,4.48466666667
local,1,3,96,96,48,9,1,88.0,180652032.0,10.5930,17.0539065421
local,1,3,96,96,48,9,2,44.5,46195272.0,5.5870,8.26835009844
local,1,3,96,96,48,9,4,22.75,12073698.0,2.1980,5.49303821656
local,1,192,22,22,3,3,1,20.0,4147200.0,1.1400,3.63789473684
local,1,192,22,22,3,3,2,10.5,1143072.0,1.0530,1.08553846154
local,1,192,22,22,3,3,4,5.75,342792.0,0.4070,0.842240786241
local,1,192,22,22,3,5,1,18.0,9331200.0,2.0350,4.58535626536
local,1,192,22,22,3,5,2,9.5,2599200.0,1.7070,1.52267135325
local,1,192,22,22,3,5,4,5.25,793800.0,2.9270,0.271199180048
local,1,192,22,22,3,7,1,16.0,14450688.0,3.0420,4.75039053254
local,1,192,22,22,3,7,2,8.5,4078368.0,1.8560,2.19739655172
local,1,192,22,22,3,7,4,4.75,1273608.0,1.9060,0.668209863589
local,1,192,22,22,3,9,1,14.0,18289152.0,16.2570,1.12500166082
local,1,192,22,22,3,9,2,7.5,5248800.0,1.9270,2.72381940841
local,1,192,22,22,3,9,4,4.25,1685448.0,2.0090,0.838948730712
local,1,192,22,22,16,3,1,20.0,22118400.0,12.3000,1.79824390244
local,1,192,22,22,16,3,2,10.5,6096384.0,2.0390,2.98988916135
local,1,192,22,22,16,3,4,5.75,1828224.0,1.2380,1.47675605816
local,1,192,22,22,16,5,1,18.0,49766400.0,3.8840,12.8131822863
local,1,192,22,22,16,5,2,9.5,13862400.0,3.2870,4.21734104046
local,1,192,22,22,16,5,4,5.25,4233600.0,2.8690,1.47563611014
local,1,192,22,22,16,7,1,16.0,77070336.0,5.2020,14.8155201845
local,1,192,22,22,16,7,2,8.5,21751296.0,4.8740,4.46271973738
local,1,192,22,22,16,7,4,4.75,6792576.0,4.0340,1.68383143282
local,1,192,22,22,16,9,1,14.0,97542144.0,6.8000,14.3444329412
local,1,192,22,22,16,9,2,7.5,27993600.0,3.9950,7.00715894869
local,1,192,22,22,16,9,4,4.25,8989056.0,3.7830,2.37617129262
local,1,192,22,22,24,3,1,20.0,33177600.0,3.7400,8.87101604278
local,1,192,22,22,24,3,2,10.5,9144576.0,2.6370,3.46779522184
local,1,192,22,22,24,3,4,5.75,2742336.0,1.7370,1.57877720207
local,1,192,22,22,24,5,1,18.0,74649600.0,5.2490,14.2216803201
local,1,192,22,22,24,5,2,9.5,20793600.0,4.1740,4.98169621466
local,1,192,22,22,24,5,4,5.25,6350400.0,3.6210,1.75376967688
local,1,192,22,22,24,7,1,16.0,115605504.0,6.9440,16.6482580645
local,1,192,22,22,24,7,2,8.5,32626944.0,4.3510,7.49872305217
local,1,192,22,22,24,7,4,4.75,10188864.0,3.6850,2.76495630936
local,1,192,22,22,24,9,1,14.0,146313216.0,9.0600,16.1493615894
local,1,192,22,22,24,9,2,7.5,41990400.0,5.2600,7.98296577947
local,1,192,22,22,24,9,4,4.25,13483584.0,4.4890,3.003694364
local,1,192,22,22,32,3,1,20.0,44236800.0,4.2370,10.4405947604
local,1,192,22,22,32,3,2,10.5,12192768.0,3.3650,3.62340802377
local,1,192,22,22,32,3,4,5.75,3656448.0,2.2540,1.62220408163
local,1,192,22,22,32,5,1,18.0,99532800.0,6.5540,15.1865730851
local,1,192,22,22,32,5,2,9.5,27724800.0,4.6090,6.01536124973
local,1,192,22,22,32,5,4,5.25,8467200.0,3.8400,2.205
local,1,192,22,22,32,7,1,16.0,154140672.0,8.7810,17.55388589
local,1,192,22,22,32,7,2,8.5,43502592.0,6.1140,7.1152423945
local,1,192,22,22,32,7,4,4.75,13585152.0,4.4520,3.05147169811
local,1,192,22,22,32,9,1,14.0,195084288.0,11.7080,16.6624776221
local,1,192,22,22,32,9,2,7.5,55987200.0,6.5290,8.57515699188
local,1,192,22,22,32,9,4,4.25,17978112.0,5.4130,3.32128431554
local,1,192,22,22,48,3,1,20.0,66355200.0,6.0550,10.958744839
local,1,192,22,22,48,3,2,10.5,18289152.0,4.5060,4.05884420772
local,1,192,22,22,48,3,4,5.75,5484672.0,3.4080,1.60935211268
local,1,192,22,22,48,5,1,18.0,149299200.0,9.6160,15.5261231281
local,1,192,22,22,48,5,2,9.5,41587200.0,6.2040,6.70328820116
local,1,192,22,22,48,5,4,5.25,12700800.0,5.0590,2.51053567899
local,1,192,22,22,48,7,1,16.0,231211008.0,12.6160,18.326807863
local,1,192,22,22,48,7,2,8.5,65253888.0,9.4390,6.91322046827
local,1,192,22,22,48,7,4,4.75,20377728.0,6.0190,3.38556703771
local,1,192,22,22,48,9,1,14.0,292626432.0,17.0710,17.1417276082
local,1,192,22,22,48,9,2,7.5,83980800.0,9.3190,9.01178238008
local,1,192,22,22,48,9,4,4.25,26967168.0,8.4790,3.18046562095
local,1,64,28,28,3,3,1,26.0,2336256.0,2.2070,1.0585663797
local,1,64,28,28,3,3,2,13.5,629856.0,0.3670,1.71622888283
local,1,64,28,28,3,3,4,7.25,181656.0,0.9480,0.191620253165
local,1,64,28,28,3,5,1,24.0,5529600.0,1.1400,4.85052631579
local,1,64,28,28,3,5,2,12.5,1500000.0,1.0020,1.49700598802
local,1,64,28,28,3,5,4,6.75,437400.0,0.3540,1.23559322034
local,1,64,28,28,3,7,1,22.0,9106944.0,1.5170,6.00325906394
local,1,64,28,28,3,7,2,11.5,2488416.0,1.3620,1.827030837
local,1,64,28,28,3,7,4,6.25,735000.0,0.4450,1.65168539326
local,1,64,28,28,3,9,1,20.0,12441600.0,1.9510,6.37703741671
local,1,64,28,28,3,9,2,10.5,3429216.0,1.6620,2.06330685921
local,1,64,28,28,3,9,4,5.75,1028376.0,1.0360,0.992640926641
local,1,64,28,28,16,3,1,26.0,12460032.0,2.7600,4.51450434783
local,1,64,28,28,16,3,2,13.5,3359232.0,1.8470,1.81875040606
local,1,64,28,28,16,3,4,7.25,968832.0,1.1980,0.808707846411
local,1,64,28,28,16,5,1,24.0,29491200.0,2.7220,10.8343864805
local,1,64,28,28,16,5,2,12.5,8000000.0,2.5340,3.15706393054
local,1,64,28,28,16,5,4,6.75,2332800.0,1.1960,1.95050167224
local,1,64,28,28,16,7,1,22.0,48570368.0,3.8660,12.5634681842
local,1,64,28,28,16,7,2,11.5,13271552.0,2.2820,5.81575460123
local,1,64,28,28,16,7,4,6.25,3920000.0,1.3370,2.93193717277
local,1,64,28,28,16,9,1,20.0,66355200.0,4.2270,15.6979418027
local,1,64,28,28,16,9,2,10.5,18289152.0,3.4450,5.30889753266
local,1,64,28,28,16,9,4,5.75,5484672.0,2.5330,2.16528701145
local,1,64,28,28,24,3,1,26.0,18690048.0,3.4730,5.38152836165
local,1,64,28,28,24,3,2,13.5,5038848.0,3.0030,1.67793806194
local,1,64,28,28,24,3,4,7.25,1453248.0,2.2960,0.632947735192
local,1,64,28,28,24,5,1,24.0,44236800.0,3.7090,11.9268805608
local,1,64,28,28,24,5,2,12.5,12000000.0,2.6910,4.45930880713
local,1,64,28,28,24,5,4,6.75,3499200.0,1.7140,2.04154025671
local,1,64,28,28,24,7,1,22.0,72855552.0,4.8540,15.0093844252
local,1,64,28,28,24,7,2,11.5,19907328.0,3.0260,6.57876007931
local,1,64,28,28,24,7,4,6.25,5880000.0,1.9070,3.08337703199
local,1,64,28,28,24,9,1,20.0,99532800.0,6.0610,16.4218445801
local,1,64,28,28,24,9,2,10.5,27433728.0,4.4730,6.13318309859
local,1,64,28,28,24,9,4,5.75,8227008.0,2.7120,3.03355752212
local,1,64,28,28,32,3,1,26.0,24920064.0,4.2240,5.89963636364
local,1,64,28,28,32,3,2,13.5,6718464.0,3.1140,2.15750289017
local,1,64,28,28,32,3,4,7.25,1937664.0,2.8220,0.686627923459
local,1,64,28,28,32,5,1,24.0,58982400.0,4.6630,12.6490242333
local,1,64,28,28,32,5,2,12.5,16000000.0,3.2890,4.86470051687
local,1,64,28,28,32,5,4,6.75,4665600.0,2.2210,2.10067537145
local,1,64,28,28,32,7,1,22.0,97140736.0,6.1820,15.713480427
local,1,64,28,28,32,7,2,11.5,26543104.0,3.7330,7.11039485668
local,1,64,28,28,32,7,4,6.25,7840000.0,2.4630,3.18311002842
local,1,64,28,28,32,9,1,20.0,132710400.0,7.7320,17.1637868598
local,1,64,28,28,32,9,2,10.5,36578304.0,4.8650,7.5186647482
local,1,64,28,28,32,9,4,5.75,10969344.0,3.3950,3.23102916053
local,1,64,28,28,48,3,1,26.0,37380096.0,5.5880,6.68935146743
local,1,64,28,28,48,3,2,13.5,10077696.0,4.0390,2.49509680614
local,1,64,28,28,48,3,4,7.25,2906496.0,3.8290,0.759074431967
local,1,64,28,28,48,5,1,24.0,88473600.0,7.1050,12.4523011963
local,1,64,28,28,48,5,2,12.5,24000000.0,4.5670,5.25509086928
local,1,64,28,28,48,5,4,6.75,6998400.0,3.2550,2.15004608295
local,1,64,28,28,48,7,1,22.0,145711104.0,8.9340,16.3097273338
local,1,64,28,28,48,7,2,11.5,39814656.0,5.2420,7.59531781763
local,1,64,28,28,48,7,4,6.25,11760000.0,3.6550,3.21751025992
local,1,64,28,28,48,9,1,20.0,199065600.0,11.6390,17.1033250279
local,1,64,28,28,48,9,2,10.5,54867456.0,6.0730,9.03465437181
local,1,64,28,28,48,9,4,5.75,16454016.0,4.6090,3.56997526578
