layer,batch,channel,height,width,num_output,fpops,lat,gflops
fc,1,768,1,1,320,245760,0.1220,2.01442622951
fc,1,768,1,1,384,294912,0.1400,2.10651428571
fc,1,768,1,1,512,393216,0.1300,3.02473846154
fc,1,768,1,1,768,589824,0.1330,4.43476691729
fc,1,768,1,1,1024,786432,0.2360,3.33233898305
fc,1,768,1,1,1536,1179648,0.2360,4.99850847458
fc,1,768,1,1,2048,1572864,0.2660,5.91302255639
fc,1,768,1,1,2560,1966080,0.2630,7.47558935361
fc,1,768,1,1,3072,2359296,0.2900,8.13550344828
fc,1,768,1,1,3200,2457600,0.2890,8.50380622837
fc,1,768,1,1,4096,3145728,0.3290,9.56148328267
fc,1,512,1,1,64,32768,0.0980,0.334367346939
fc,1,512,1,1,128,65536,0.0980,0.668734693878
fc,1,512,1,1,196,100352,0.1000,1.00352
fc,1,512,1,1,256,131072,0.1110,1.18082882883
fc,1,512,1,1,320,163840,0.0980,1.67183673469
fc,1,512,1,1,384,196608,0.1000,1.96608
fc,1,512,1,1,512,262144,0.1060,2.47305660377
fc,1,512,1,1,768,393216,0.1210,3.24971900826
fc,1,512,1,1,1024,524288,0.1810,2.89661878453
fc,1,512,1,1,1536,786432,0.1810,4.3449281768
fc,1,512,1,1,2048,1048576,0.1950,5.37731282051
fc,1,512,1,1,2560,1310720,0.1960,6.68734693878
fc,1,512,1,1,3072,1572864,0.2120,7.41916981132
fc,1,512,1,1,3200,1638400,0.2130,7.69201877934
fc,1,512,1,1,4096,2097152,0.2490,8.42229718876
fc,1,446,1,1,64,28544,0.0930,0.306924731183
fc,1,446,1,1,128,57088,0.0930,0.613849462366
fc,1,446,1,1,196,87416,0.0940,0.929957446809
fc,1,446,1,1,256,114176,0.1150,0.992834782609
fc,1,446,1,1,320,142720,0.0930,1.53462365591
fc,1,446,1,1,384,171264,0.0970,1.76560824742
fc,1,446,1,1,512,228352,0.0960,2.37866666667
fc,1,446,1,1,768,342528,0.0960,3.568
fc,1,446,1,1,1024,456704,0.1670,2.73475449102
fc,1,446,1,1,1536,685056,0.1890,3.62463492063
fc,1,446,1,1,2048,913408,0.1820,5.01872527473
fc,1,446,1,1,2560,1141760,0.1980,5.76646464646
fc,1,446,1,1,3072,1370112,0.2030,6.74932019704
fc,1,446,1,1,3200,1427200,0.2080,6.86153846154
fc,1,446,1,1,4096,1826816,0.2270,8.04764757709
fc,1,1000,1,1,64,64000,0.1420,0.450704225352
fc,1,1000,1,1,128,128000,0.1430,0.895104895105
fc,1,1000,1,1,196,196000,0.1550,1.26451612903
fc,1,1000,1,1,256,256000,0.1750,1.46285714286
fc,1,1000,1,1,320,320000,0.1440,2.22222222222
fc,1,1000,1,1,384,384000,0.1590,2.41509433962
fc,1,1000,1,1,512,512000,0.1570,3.26114649682
fc,1,1000,1,1,768,768000,0.1580,4.86075949367
fc,1,1000,1,1,1024,1024000,0.2870,3.56794425087
fc,1,1000,1,1,1536,1536000,0.2880,5.33333333333
fc,1,1000,1,1,2048,2048000,0.3150,6.50158730159
fc,1,1000,1,1,2560,2560000,0.3180,8.05031446541
fc,1,1000,1,1,3072,3072000,0.3580,8.58100558659
fc,1,1000,1,1,3200,3200000,0.3710,8.62533692722
fc,1,1000,1,1,4096,4096000,0.4090,10.0146699267
fc,1,64,1,1,64,4096,0.0580,0.0706206896552
fc,1,64,1,1,128,8192,0.0590,0.138847457627
fc,1,64,1,1,196,12544,0.0570,0.220070175439
fc,1,64,1,1,256,16384,0.0580,0.282482758621
fc,1,64,1,1,320,20480,0.0610,0.335737704918
fc,1,64,1,1,384,24576,0.0600,0.4096
fc,1,64,1,1,512,32768,0.0830,0.394795180723
fc,1,64,1,1,768,49152,0.0650,0.756184615385
fc,1,64,1,1,1024,65536,0.0580,1.12993103448
fc,1,64,1,1,1536,98304,0.0620,1.5855483871
fc,1,64,1,1,2048,131072,0.1060,1.23652830189
fc,1,64,1,1,2560,163840,0.0830,1.97397590361
fc,1,64,1,1,3072,196608,0.0860,2.28613953488
fc,1,64,1,1,3200,204800,0.0850,2.40941176471
fc,1,64,1,1,4096,262144,0.1310,2.00109923664
fc,64,640,1,1,64,2621440,0.1950,13.4432820513
fc,64,640,1,1,128,5242880,0.1910,27.4496335079
fc,64,640,1,1,196,8028160,0.1810,44.3544751381
fc,64,640,1,1,256,10485760,0.1860,56.3750537634
fc,64,640,1,1,320,13107200,0.1830,71.6240437158
fc,64,640,1,1,384,15728640,0.1910,82.3489005236
fc,64,640,1,1,512,20971520,0.1880,111.550638298
fc,64,640,1,1,768,31457280,0.1940,162.150927835
fc,64,640,1,1,1024,41943040,0.2120,197.844528302
fc,64,640,1,1,1536,62914560,0.2390,263.24083682
fc,64,640,1,1,2048,83886080,0.2540,330.26015748
fc,64,640,1,1,2560,104857600,0.2800,374.491428571
fc,64,640,1,1,3072,125829120,0.4040,311.458217822
fc,64,640,1,1,3200,131072000,0.3180,412.176100629
fc,64,640,1,1,4096,167772160,0.3580,468.637318436
fc,64,384,1,1,64,1572864,0.1730,9.09169942197
fc,64,384,1,1,128,3145728,0.1420,22.1530140845
fc,64,384,1,1,196,4816896,0.1290,37.3402790698
fc,64,384,1,1,256,6291456,0.1280,49.152
fc,64,384,1,1,320,7864320,0.1300,60.4947692308
fc,64,384,1,1,384,9437184,0.1380,68.3853913043
fc,64,384,1,1,512,12582912,0.1420,88.612056338
fc,64,384,1,1,768,18874368,0.1320,142.987636364
fc,64,384,1,1,1024,25165824,0.1540,163.414441558
fc,64,384,1,1,1536,37748736,0.1590,237.413433962
fc,64,384,1,1,2048,50331648,0.1900,264.903410526
fc,64,384,1,1,2560,62914560,0.1890,332.881269841
fc,64,384,1,1,3072,75497472,0.2260,334.059610619
fc,64,384,1,1,3200,78643200,0.2330,337.524463519
fc,64,384,1,1,4096,100663296,0.2440,412.554491803
fc,64,2000,1,1,64,8192000,0.3300,24.8242424242
fc,64,2000,1,1,128,16384000,0.3400,48.1882352941
fc,64,2000,1,1,196,25088000,0.3430,73.1428571429
fc,64,2000,1,1,256,32768000,0.3540,92.5649717514
fc,64,2000,1,1,320,40960000,0.3490,117.363896848
fc,64,2000,1,1,384,49152000,0.3740,131.422459893
fc,64,2000,1,1,512,65536000,0.4910,133.474541752
fc,64,2000,1,1,768,98304000,0.5060,194.276679842
fc,64,2000,1,1,1024,131072000,0.5210,251.577735125
fc,64,2000,1,1,1536,196608000,0.5640,348.595744681
fc,64,2000,1,1,2048,262144000,0.6340,413.476340694
fc,64,2000,1,1,2560,327680000,0.7020,466.780626781
fc,64,2000,1,1,3072,393216000,0.9040,434.973451327
fc,64,2000,1,1,3200,409600000,0.9030,453.599114064
fc,64,2000,1,1,4096,524288000,0.9530,550.144805876
fc,64,576,1,1,64,2359296,0.1660,14.212626506
fc,64,576,1,1,128,4718592,0.1710,27.5941052632
fc,64,576,1,1,196,7225344,0.1680,43.008
fc,64,576,1,1,256,9437184,0.1670,56.5100838323
fc,64,576,1,1,320,11796480,0.1670,70.6376047904
fc,64,576,1,1,384,14155776,0.1670,84.7651257485
fc,64,576,1,1,512,18874368,0.1750,107.853531429
fc,64,576,1,1,768,28311552,0.1810,156.417414365
fc,64,576,1,1,1024,37748736,0.2080,181.484307692
fc,64,576,1,1,1536,56623104,0.2070,273.541565217
fc,64,576,1,1,2048,75497472,0.2280,331.129263158
fc,64,576,1,1,2560,94371840,0.2490,379.003373494
fc,64,576,1,1,3072,113246208,0.2910,389.162226804
fc,64,576,1,1,3200,117964800,0.3030,389.322772277
fc,64,576,1,1,4096,150994944,0.3270,461.758238532
fc,64,4000,1,1,64,16384000,0.5280,31.0303030303
fc,64,4000,1,1,128,32768000,0.5560,58.9352517986
fc,64,4000,1,1,196,50176000,0.5800,86.5103448276
fc,64,4000,1,1,256,65536000,0.5950,110.144537815
fc,64,4000,1,1,320,81920000,0.6130,133.637846656
fc,64,4000,1,1,384,98304000,0.6590,149.171471927
fc,64,4000,1,1,512,131072000,0.9200,142.469565217
fc,64,4000,1,1,768,196608000,1.1310,173.835543767
fc,64,4000,1,1,1024,262144000,1.1050,237.23438914
fc,64,4000,1,1,1536,393216000,1.0790,364.426320667
fc,64,4000,1,1,2048,524288000,1.1890,440.948696384
fc,64,4000,1,1,2560,655360000,1.3230,495.359032502
fc,64,4000,1,1,3072,786432000,1.8990,414.129541864
fc,64,4000,1,1,3200,819200000,1.7430,469.994262765
fc,64,4000,1,1,4096,1048576000,1.9060,550.144805876
fc,64,3000,1,1,64,12288000,0.4330,28.3787528868
fc,64,3000,1,1,128,24576000,0.4280,57.4205607477
fc,64,3000,1,1,196,37632000,0.4500,83.6266666667
fc,64,3000,1,1,256,49152000,0.4810,102.187110187
fc,64,3000,1,1,320,61440000,0.5030,122.147117296
fc,64,3000,1,1,384,73728000,0.4960,148.64516129
fc,64,3000,1,1,512,98304000,0.7020,140.034188034
fc,64,3000,1,1,768,147456000,0.7140,206.521008403
fc,64,3000,1,1,1024,196608000,0.7840,250.775510204
fc,64,3000,1,1,1536,294912000,0.8280,356.173913043
fc,64,3000,1,1,2048,393216000,0.9280,423.724137931
fc,64,3000,1,1,2560,491520000,1.0330,475.818005808
fc,64,3000,1,1,3072,589824000,1.3250,445.150188679
fc,64,3000,1,1,3200,614400000,1.3330,460.915228807
fc,64,3000,1,1,4096,786432000,1.4030,560.535994298
fc,64,768,1,1,64,3145728,0.2060,15.2705242718
fc,64,768,1,1,128,6291456,0.2050,30.6900292683
fc,64,768,1,1,196,9633792,0.2080,46.3163076923
fc,64,768,1,1,256,12582912,0.2070,60.7870144928
fc,64,768,1,1,320,15728640,0.2050,76.7250731707
fc,64,768,1,1,384,18874368,0.2090,90.3079808612
fc,64,768,1,1,512,25165824,0.2190,114.912438356
fc,64,768,1,1,768,37748736,0.2200,171.585163636
fc,64,768,1,1,1024,50331648,0.2430,207.126123457
fc,64,768,1,1,1536,75497472,0.2580,292.625860465
fc,64,768,1,1,2048,100663296,0.2860,351.969566434
fc,64,768,1,1,2560,125829120,0.3090,407.213980583
fc,64,768,1,1,3072,150994944,0.3700,408.094443243
fc,64,768,1,1,3200,157286400,0.3750,419.4304
fc,64,768,1,1,4096,201326592,0.4280,470.389233645
fc,64,512,1,1,64,2097152,0.1540,13.6178701299
fc,64,512,1,1,128,4194304,0.1550,27.0600258065
fc,64,512,1,1,196,6422528,0.1980,32.437010101
fc,64,512,1,1,256,8388608,0.1540,54.4714805195
fc,64,512,1,1,320,10485760,0.1570,66.7882802548
fc,64,512,1,1,384,12582912,0.1550,81.1800774194
fc,64,512,1,1,512,16777216,0.1590,105.517081761
fc,64,512,1,1,768,25165824,0.1670,150.693556886
fc,64,512,1,1,1024,33554432,0.1800,186.413511111
fc,64,512,1,1,1536,50331648,0.1940,259.441484536
fc,64,512,1,1,2048,67108864,0.2120,316.551245283
fc,64,512,1,1,2560,83886080,0.2330,360.026094421
fc,64,512,1,1,3072,100663296,0.2670,377.016089888
fc,64,512,1,1,3200,104857600,0.2660,394.201503759
