layer,batch,channel,height,width,fpops,lat,gflops
relu,1,48,28,28,37632,0.0860,0.437581395349
relu,1,128,56,56,401408,0.9060,0.443055187638
relu,1,96,55,55,290400,0.7370,0.394029850746
relu,1,3,227,227,154587,0.3980,0.388409547739
relu,1,16,96,96,147456,0.3030,0.486653465347
relu,1,512,14,14,100352,0.1980,0.506828282828
relu,1,64,64,64,262144,0.5380,0.487256505576
