layer,batch,channel,height,width,fpops,lat,gflops
softmax,1,256,1,1,256,0.0320,0.008
softmax,1,1024,1,1,1024,0.0360,0.0284444444444
softmax,1,512,1,1,512,0.0320,0.016
softmax,1,128,1,1,128,0.0300,0.00426666666667
softmax,1,2048,1,1,2048,0.0410,0.0499512195122
softmax,1,32,1,1,32,0.0290,0.00110344827586
softmax,1,64,1,1,64,0.0300,0.00213333333333
softmax,1,4096,1,1,4096,0.0570,0.0718596491228
