layer,batch,channel,height,width,num_output,kernel_size,stride,out_dim,fpops,lat,gflops
local,1,3,96,96,16,3,1,94.0,7634304.0,1.4060,5.42980369844
local,1,3,96,96,16,3,2,47.5,1949400.0,0.5020,3.88326693227
local,1,3,96,96,16,3,4,24.25,508086.0,0.4320,1.176125
local,1,3,96,96,16,5,1,92.0,20313600.0,2.2310,9.10515463918
local,1,3,96,96,16,5,2,46.5,5189400.0,1.4480,3.58383977901
local,1,3,96,96,16,5,4,23.75,1353750.0,0.5040,2.68601190476
local,1,3,96,96,16,7,1,90.0,38102400.0,3.0250,12.5958347107
local,1,3,96,96,16,7,2,45.5,9738456.0,1.8080,5.38631415929
local,1,3,96,96,16,7,4,23.25,2542806.0,0.6570,3.87032876712
local,1,3,96,96,16,9,1,88.0,60217344.0,4.0630,14.8209067192
local,1,3,96,96,16,9,2,44.5,15398424.0,2.3240,6.62582788296
local,1,3,96,96,16,9,4,22.75,4024566.0,0.8330,4.83141176471
local,1,3,96,96,24,3,1,94.0,11451456.0,1.7400,6.58129655172
local,1,3,96,96,24,3,2,47.5,2924100.0,0.6860,4.26253644315
local,1,3,96,96,24,3,4,24.25,762129.0,0.5900,1.2917440678
local,1,3,96,96,24,5,1,92.0,30470400.0,2.6930,11.3146676569
local,1,3,96,96,24,5,2,46.5,7784100.0,1.7520,4.44297945205
local,1,3,96,96,24,5,4,23.75,2030625.0,0.7090,2.86406911142
local,1,3,96,96,24,7,1,90.0,57153600.0,4.0520,14.1050345508
local,1,3,96,96,24,7,2,45.5,14607684.0,2.3630,6.18183834109
local,1,3,96,96,24,7,4,23.25,3814209.0,0.9160,4.16398362445
local,1,3,96,96,24,9,1,88.0,90326016.0,5.6740,15.9192837504
local,1,3,96,96,24,9,2,44.5,23097636.0,3.3450,6.90512286996
local,1,3,96,96,24,9,4,22.75,6036849.0,1.1780,5.12465959253
local,1,3,96,96,32,3,1,94.0,15268608.0,2.0680,7.38327272727
local,1,3,96,96,32,3,2,47.5,3898800.0,0.8710,4.47623421355
local,1,3,96,96,32,3,4,24.25,1016172.0,0.7380,1.37692682927
local,1,3,96,96,32,5,1,92.0,40627200.0,3.3770,12.0305596683
local,1,3,96,96,32,5,2,46.5,10378800.0,1.5180,6.8371541502
local,1,3,96,96,32,5,4,23.75,2707500.0,0.8900,3.04213483146
local,1,3,96,96,32,7,1,90.0,76204800.0,5.1420,14.8200700117
local,1,3,96,96,32,7,2,45.5,19476912.0,3.3570,5.80188025022
local,1,3,96,96,32,7,4,23.25,5085612.0,1.2040,4.22393023256
local,1,3,96,96,32,9,1,88.0,120434688.0,7.3620,16.3589633252
local,1,3,96,96,32,9,2,44.5,30796848.0,3.8710,7.95578610178
local,1,3,96,96,32,9,4,22.75,8049132.0,1.5180,5.30245849802
local,1,3,96,96,48,3,1,94.0,22902912.0,2.7260,8.40165517241
local,1,3,96,96,48,3,2,47.5,5848200.0,1.3230,4.42040816327
local,1,3,96,96,48,3,4,24.25,1524258.0,1.0750,1.4179144186
local,1,3,96,96,48,5,1,92.0,60940800.0,4.8640,12.5289473684
local,1,3,96,96,48,5,2,46.5,15568200.0,2.1710,7.17098111469
local,1,3,96,96,48,5,4,23.75,4061250.0,1.2850,3.16050583658
local,1,3,96,96,48,7,1,90.0,114307200.0,7.3310,15.592306643
local,1,3,96,96,48,7,2,45.5,29215368.0,4.1890,6.97430603963
local,1,3,96,96,48,7,4,23.25,7628418.0,1.6770,4.54884794275
local,1,3,96,96,48,9,1,88.0,180652032.0,10.7100,16.8676033613
local,1,3,96,96,48,9,2,44.5,46195272.0,5.5790,8.28020648862
local,1,3,96,96,48,9,4,22.75,12073698.0,2.2220,5.43370747075
local,1,192,22,22,3,3,1,20.0,4147200.0,1.1480,3.61254355401
local,1,192,22,22,3,3,2,10.5,1143072.0,1.2040,0.949395348837
local,1,192,22,22,3,3,4,5.75,342792.0,0.4060,0.844315270936
local,1,192,22,22,3,5,1,18.0,9331200.0,1.8560,5.0275862069
local,1,192,22,22,3,5,2,9.5,2599200.0,1.6910,1.53707865169
local,1,192,22,22,3,5,4,5.25,793800.0,1.6370,0.484911423335
local,1,192,22,22,3,7,1,16.0,14450688.0,3.5940,4.02078130217
local,1,192,22,22,3,7,2,8.5,4078368.0,1.7800,2.29121797753
local,1,192,22,22,3,7,4,4.75,1273608.0,1.7330,0.734915175995
local,1,192,22,22,3,9,1,14.0,18289152.0,2.8420,6.43531034483
local,1,192,22,22,3,9,2,7.5,5248800.0,1.9020,2.7596214511
local,1,192,22,22,3,9,4,4.25,1685448.0,2.2130,0.761612291008
local,1,192,22,22,16,3,1,20.0,22118400.0,2.5300,8.74245059289
