layer,batch,channel,height,width,num_output,fpops,lat,gflops
fc,1,1000,1,1,512,512000,0.1570,3.26114649682
fc,1,1000,1,1,768,768000,0.1560,4.92307692308
fc,1,1000,1,1,1024,1024000,0.2850,3.59298245614
fc,1,1000,1,1,1536,1536000,0.2860,5.37062937063
fc,1,1000,1,1,2048,2048000,0.3370,6.07715133531
fc,1,1000,1,1,2560,2560000,0.3280,7.80487804878
fc,1,1000,1,1,3072,3072000,0.3740,8.21390374332
fc,1,1000,1,1,3200,3200000,0.3550,9.01408450704
fc,1,1000,1,1,4096,4096000,0.4080,10.0392156863
fc,1,64,1,1,64,4096,0.0580,0.0706206896552
fc,1,64,1,1,128,8192,0.0640,0.128
fc,1,64,1,1,196,12544,0.0660,0.190060606061
fc,1,64,1,1,256,16384,0.0650,0.252061538462
fc,1,64,1,1,320,20480,0.0570,0.359298245614
fc,1,64,1,1,384,24576,0.0570,0.431157894737
fc,1,64,1,1,512,32768,0.0580,0.564965517241
fc,1,64,1,1,768,49152,0.0580,0.847448275862
fc,1,64,1,1,1024,65536,0.0560,1.17028571429
fc,1,64,1,1,1536,98304,0.0590,1.66616949153
fc,1,64,1,1,2048,131072,0.0830,1.57918072289
fc,1,64,1,1,2560,163840,0.0800,2.048
fc,1,64,1,1,3072,196608,0.0840,2.34057142857
fc,1,64,1,1,3200,204800,0.0850,2.40941176471
fc,1,64,1,1,4096,262144,0.0900,2.91271111111
