layer,batch,channel,height,width,fpops,lat,gflops
relu,1,48,28,28,37632,0.2760,0.1363478260869565
relu,1,128,56,56,401408,1.3340,0.3009055472263868
relu,1,96,55,55,290400,1.0300,0.2819417475728155
relu,1,3,227,227,154587,0.7590,0.20367193675889328
relu,1,16,96,96,147456,0.7310,0.20171819425444598
relu,1,512,14,14,100352,0.5500,0.18245818181818182
relu,1,64,64,64,262144,1.1850,0.22121856540084386
