layer,batch,channel,height,width,num_output,kernel_size,stride,out_dim,fpops,lat,gflops
local,1,3,96,96,3,9,1,88.0,11290752.0,10.2970,1.0965088860833252
local,1,3,96,96,3,9,2,44.5,2887204.5,3.6130,0.7991155549404926
local,1,3,96,96,3,9,4,22.75,754606.125,1.2520,0.6027205471246007
local,1,3,96,96,16,3,1,94.0,7634304.0,7.8800,0.968820304568528
local,1,3,96,96,16,3,2,47.5,1949400.0,3.7290,0.5227674979887369
local,1,3,96,96,16,3,4,24.25,508086.0,1.4190,0.3580591966173361
local,1,3,96,96,16,5,1,92.0,20313600.0,26.2120,0.7749732946741951
local,1,3,96,96,16,5,2,46.5,5189400.0,5.2290,0.9924268502581755
local,1,3,96,96,16,5,4,23.75,1353750.0,2.5500,0.5308823529411766
local,1,3,96,96,16,7,1,90.0,38102400.0,42.1380,0.904228961982059
local,1,3,96,96,16,7,2,45.5,9738456.0,8.3880,1.1609985693848355
local,1,3,96,96,16,7,4,23.25,2542806.0,3.9310,0.6468598321037903
local,1,3,96,96,16,9,1,88.0,60217344.0,58.9460,1.0215679435415466
local,1,3,96,96,16,9,2,44.5,15398424.0,15.0120,1.0257410071942445
local,1,3,96,96,16,9,4,22.75,4024566.0,4.7490,0.8474554643082755
local,1,3,96,96,24,3,1,94.0,11451456.0,13.8620,0.8261041696724859
local,1,3,96,96,24,3,2,47.5,2924100.0,5.4000,0.5415
local,1,3,96,96,24,3,4,24.25,762129.0,1.9540,0.3900353121801433
local,1,3,96,96,24,5,1,92.0,30470400.0,37.1770,0.819603518304328
local,1,3,96,96,24,5,2,46.5,7784100.0,7.2300,1.0766390041493776
local,1,3,96,96,24,5,4,23.75,2030625.0,3.6470,0.556793254729915
local,1,3,96,96,24,7,1,90.0,57153600.0,64.0350,0.8925368938861561
local,1,3,96,96,24,7,2,45.5,14607684.0,14.6240,0.9988842997811815
local,1,3,96,96,24,7,4,23.25,3814209.0,5.6400,0.6762781914893616
local,1,3,96,96,24,9,1,88.0,90326016.0,87.3220,1.0344015940999978
local,1,3,96,96,24,9,2,44.5,23097636.0,26.0080,0.8880973546601046
local,1,3,96,96,24,9,4,22.75,6036849.0,6.8550,0.8806490153172865
local,1,3,96,96,32,3,1,94.0,15268608.0,22.0850,0.6913564863029205
local,1,3,96,96,32,3,2,47.5,3898800.0,7.0570,0.552472722119881
local,1,3,96,96,32,3,4,24.25,1016172.0,2.4710,0.41123917442331037
local,1,3,96,96,32,5,1,92.0,40627200.0,52.8030,0.7694108289301744
local,1,3,96,96,32,5,2,46.5,10378800.0,8.8620,1.1711577522004064
local,1,3,96,96,32,5,4,23.75,2707500.0,4.6670,0.580137133061924
local,1,3,96,96,32,7,1,90.0,76204800.0,90.1910,0.844926877404619
local,1,3,96,96,32,7,2,45.5,19476912.0,23.3360,0.8346294137812822
local,1,3,96,96,32,7,4,23.25,5085612.0,7.3730,0.6897615624576157
local,1,3,96,96,32,9,1,88.0,120434688.0,116.4180,1.034502293459774
local,1,3,96,96,32,9,2,44.5,30796848.0,37.0090,0.8321448296360345
local,1,3,96,96,32,9,4,22.75,8049132.0,11.5960,0.6941300448430493
local,1,3,96,96,48,3,1,94.0,22902912.0,31.8070,0.7200588549690319
local,1,3,96,96,48,3,2,47.5,5848200.0,13.0370,0.4485847971159009
local,1,3,96,96,48,3,4,24.25,1524258.0,3.5070,0.43463301967493584
local,1,3,96,96,48,5,1,92.0,60940800.0,81.7170,0.745754249421785
local,1,3,96,96,48,5,2,46.5,15568200.0,15.7560,0.9880807311500381
local,1,3,96,96,48,5,4,23.75,4061250.0,6.6920,0.6068813508667065
local,1,3,96,96,48,7,1,90.0,114307200.0,128.8260,0.8872991476875787
local,1,3,96,96,48,7,2,45.5,29215368.0,33.4100,0.8744498054474709
local,1,3,96,96,48,7,4,23.25,7628418.0,10.8140,0.7054205659330497
local,1,3,96,96,48,9,1,88.0,180652032.0,174.0060,1.0381942691631323
local,1,3,96,96,48,9,2,44.5,46195272.0,56.1870,0.8221701105237866
local,1,3,96,96,48,9,4,22.75,12073698.0,20.2690,0.5956730968474024
local,1,192,22,22,3,3,1,20.0,4147200.0,4.1920,0.9893129770992365
local,1,192,22,22,3,3,2,10.5,1143072.0,2.0030,0.570679980029955
local,1,192,22,22,3,3,4,5.75,342792.0,0.9900,0.3462545454545454
local,1,192,22,22,3,5,1,18.0,9331200.0,11.0760,0.8424702058504875
local,1,192,22,22,3,5,2,9.5,2599200.0,4.9760,0.5223472668810288
local,1,192,22,22,3,5,4,5.25,793800.0,2.3650,0.335644820295983
local,1,192,22,22,3,7,1,16.0,14450688.0,15.2550,0.9472755162241887
local,1,192,22,22,3,7,2,8.5,4078368.0,4.4490,0.9166931894807823
local,1,192,22,22,3,7,4,4.75,1273608.0,2.5580,0.49789210320562943
local,1,192,22,22,3,9,1,14.0,18289152.0,20.8140,0.8786947247045258
local,1,192,22,22,3,9,2,7.5,5248800.0,5.3550,0.9801680672268906
local,1,192,22,22,3,9,4,4.25,1685448.0,3.2900,0.5122942249240122
local,1,192,22,22,16,3,1,20.0,22118400.0,15.8520,1.3953065859197575
local,1,192,22,22,16,3,2,10.5,6096384.0,5.4720,1.1141052631578947
local,1,192,22,22,16,3,4,5.75,1828224.0,2.7940,0.6543392984967789
local,1,192,22,22,16,5,1,18.0,49766400.0,35.1780,1.414702370799932
local,1,192,22,22,16,5,2,9.5,13862400.0,11.1100,1.2477407740774078
local,1,192,22,22,16,5,4,5.25,4233600.0,5.8450,0.724311377245509
local,1,192,22,22,16,7,1,16.0,77070336.0,51.6730,1.4915010934143555
local,1,192,22,22,16,7,2,8.5,21751296.0,16.0610,1.3542927588568583
local,1,192,22,22,16,7,4,4.75,6792576.0,7.5360,0.9013503184713377
local,1,192,22,22,16,9,1,14.0,97542144.0,68.3630,1.4268265582259412
local,1,192,22,22,16,9,2,7.5,27993600.0,20.3570,1.3751338605884953
local,1,192,22,22,16,9,4,4.25,8989056.0,10.6930,0.8406486486486487
local,1,192,22,22,24,3,1,20.0,33177600.0,22.9710,1.444325453833094
local,1,192,22,22,24,3,2,10.5,9144576.0,7.7110,1.18591311113993
local,1,192,22,22,24,3,4,5.75,2742336.0,3.7970,0.7222375559652358
local,1,192,22,22,24,5,1,18.0,74649600.0,50.7740,1.4702327963130737
local,1,192,22,22,24,5,2,9.5,20793600.0,15.5780,1.3348054949287458
local,1,192,22,22,24,5,4,5.25,6350400.0,8.2800,0.7669565217391305
local,1,192,22,22,24,7,1,16.0,115605504.0,75.7650,1.5258431201742229
local,1,192,22,22,24,7,2,8.5,32626944.0,22.9260,1.4231415859722585
local,1,192,22,22,24,7,4,4.75,10188864.0,10.2160,0.9973437744714174
local,1,192,22,22,24,9,1,14.0,146313216.0,102.2540,1.430880122049015
local,1,192,22,22,24,9,2,7.5,41990400.0,29.2820,1.4340004098080732
local,1,192,22,22,24,9,4,4.25,13483584.0,15.4710,0.8715392670157068
local,1,192,22,22,32,3,1,20.0,44236800.0,30.1730,1.4661054585225204
local,1,192,22,22,32,3,2,10.5,12192768.0,9.8970,1.2319660503182783
local,1,192,22,22,32,3,4,5.75,3656448.0,4.9200,0.7431804878048781
local,1,192,22,22,32,5,1,18.0,99532800.0,67.0780,1.4838367273919915
local,1,192,22,22,32,5,2,9.5,27724800.0,20.7450,1.3364569775849602
local,1,192,22,22,32,5,4,5.25,8467200.0,11.0260,0.7679303464538364
local,1,192,22,22,32,7,1,16.0,154140672.0,99.5620,1.5481877824872945
local,1,192,22,22,32,7,2,8.5,43502592.0,30.4190,1.4301124954797988
local,1,192,22,22,32,7,4,4.75,13585152.0,13.7130,0.9906768759571211
local,1,192,22,22,32,9,1,14.0,195084288.0,132.4630,1.4727455062923231
local,1,192,22,22,32,9,2,7.5,55987200.0,38.3960,1.4581518908219606
local,1,192,22,22,32,9,4,4.25,17978112.0,22.4460,0.8009494787489976
local,1,192,22,22,48,3,1,20.0,66355200.0,44.4580,1.4925367762832336
local,1,192,22,22,48,3,2,10.5,18289152.0,14.1210,1.2951739961759083
local,1,192,22,22,48,3,4,5.75,5484672.0,7.0860,0.7740152413209145
local,1,192,22,22,48,5,1,18.0,149299200.0,99.7060,1.4973943393577116
local,1,192,22,22,48,5,2,9.5,41587200.0,29.4360,1.4128006522625356
local,1,192,22,22,48,5,4,5.25,12700800.0,15.7140,0.8082474226804124
local,1,192,22,22,48,7,1,16.0,231211008.0,147.6710,1.5657170873089503
local,1,192,22,22,48,7,2,8.5,65253888.0,45.1310,1.4458772905541646
local,1,192,22,22,48,7,4,4.75,20377728.0,19.7690,1.0307920481562043
local,1,192,22,22,48,9,1,14.0,292626432.0,198.3480,1.475318289067699
local,1,192,22,22,48,9,2,7.5,83980800.0,57.1510,1.4694546027191127
local,1,192,22,22,48,9,4,4.25,26967168.0,28.4600,0.9475463106113844
local,1,64,28,28,3,3,1,26.0,2336256.0,3.1140,0.7502427745664739
