layer,batch,channel,height,width,num_output,fpops,lat,gflops
fc,1,3000,1,1,3200,9600000,5.7230,1.6774419011008213
fc,1,3000,1,1,4096,12288000,8.7470,1.4048245112610038
fc,1,768,1,1,64,49152,0.4030,0.12196526054590569
fc,1,768,1,1,128,98304,0.4860,0.20227160493827162
fc,1,768,1,1,196,150528,0.5480,0.27468613138686127
fc,1,768,1,1,256,196608,0.5440,0.3614117647058824
fc,1,768,1,1,320,245760,0.5400,0.4551111111111111
fc,1,768,1,1,384,294912,0.6910,0.4267901591895803
fc,1,768,1,1,512,393216,0.7070,0.5561753889674682
fc,1,768,1,1,768,589824,0.9390,0.6281405750798722
fc,1,768,1,1,1024,786432,1.1920,0.659758389261745
fc,1,768,1,1,1536,1179648,1.4180,0.8319097320169252
fc,1,768,1,1,2048,1572864,1.8620,0.8447175080558539
fc,1,768,1,1,2560,1966080,2.1720,0.9051933701657457
fc,1,768,1,1,3072,2359296,2.5290,0.9328967971530249
fc,1,768,1,1,3200,2457600,2.5820,0.9518202943454688
fc,1,768,1,1,4096,3145728,3.2090,0.9802829541913368
fc,1,512,1,1,64,32768,0.3940,0.08316751269035531
fc,1,512,1,1,128,65536,0.4110,0.1594549878345499
fc,1,512,1,1,196,100352,0.4970,0.20191549295774644
fc,1,512,1,1,256,131072,0.4710,0.27828450106157115
fc,1,512,1,1,320,163840,0.4610,0.3554013015184382
fc,1,512,1,1,384,196608,0.6040,0.32550993377483445
fc,1,512,1,1,512,262144,0.5780,0.4535363321799308
fc,1,512,1,1,768,393216,0.7680,0.512
fc,1,512,1,1,1024,524288,0.8540,0.61392037470726
fc,1,512,1,1,1536,786432,1.0680,0.7363595505617976
fc,1,512,1,1,2048,1048576,1.2980,0.8078397534668721
fc,1,512,1,1,2560,1310720,1.5520,0.8445360824742268
fc,1,512,1,1,3072,1572864,1.8360,0.8566797385620915
fc,1,512,1,1,3200,1638400,1.8850,0.8691777188328912
fc,1,512,1,1,4096,2097152,2.3310,0.8996791076791076
fc,1,446,1,1,64,28544,0.3780,0.0755132275132275
fc,1,446,1,1,128,57088,0.3660,0.15597814207650273
fc,1,446,1,1,196,87416,0.4810,0.18173804573804575
fc,1,446,1,1,256,114176,0.4870,0.2344476386036961
fc,1,446,1,1,320,142720,0.4030,0.3541439205955335
fc,1,446,1,1,384,171264,0.5500,0.3113890909090909
fc,1,446,1,1,512,228352,0.5810,0.39303270223752157
fc,1,446,1,1,768,342528,0.6700,0.5112358208955223
fc,1,446,1,1,1024,456704,0.8170,0.5590012239902081
fc,1,446,1,1,1536,685056,0.9320,0.735038626609442
fc,1,446,1,1,2048,913408,1.1840,0.7714594594594596
fc,1,446,1,1,2560,1141760,1.4530,0.7857949070887819
fc,1,446,1,1,3072,1370112,1.6690,0.8209179149191131
fc,1,446,1,1,3200,1427200,1.7300,0.824971098265896
fc,1,446,1,1,4096,1826816,2.0810,0.8778548774627583
fc,1,1000,1,1,64,64000,0.3800,0.16842105263157894
fc,1,1000,1,1,128,128000,0.5120,0.25
fc,1,1000,1,1,196,196000,0.5240,0.37404580152671757
fc,1,1000,1,1,256,256000,0.5340,0.47940074906367036
fc,1,1000,1,1,320,320000,0.5710,0.5604203152364273
fc,1,1000,1,1,384,384000,0.7640,0.5026178010471204
fc,1,1000,1,1,512,512000,0.7990,0.6408010012515645
fc,1,1000,1,1,768,768000,1.0670,0.7197750702905341
fc,1,1000,1,1,1024,1024000,1.3790,0.7425670775924582
fc,1,1000,1,1,1536,1536000,1.7150,0.8956268221574344
fc,1,1000,1,1,2048,2048000,2.2510,0.9098178587294535
fc,1,1000,1,1,2560,2560000,2.6360,0.9711684370257966
fc,1,1000,1,1,3072,3072000,3.2300,0.9510835913312694
fc,1,1000,1,1,3200,3200000,3.3140,0.9656004828002414
fc,1,1000,1,1,4096,4096000,4.1390,0.9896110171539018
fc,1,64,1,1,64,4096,0.2010,0.02037810945273632
fc,1,64,1,1,128,8192,0.3110,0.026340836012861735
fc,1,64,1,1,196,12544,0.2810,0.04464056939501779
fc,1,64,1,1,256,16384,0.2940,0.05572789115646259
fc,1,64,1,1,320,20480,0.3130,0.06543130990415334
fc,1,64,1,1,384,24576,0.2820,0.08714893617021277
fc,1,64,1,1,512,32768,0.2990,0.10959197324414716
fc,1,64,1,1,768,49152,0.4170,0.1178705035971223
fc,1,64,1,1,1024,65536,0.4610,0.14216052060737527
fc,1,64,1,1,1536,98304,0.5060,0.19427667984189723
fc,1,64,1,1,2048,131072,0.4090,0.3204694376528118
fc,1,64,1,1,2560,163840,0.4540,0.36088105726872244
fc,1,64,1,1,3072,196608,0.5720,0.34372027972027974
fc,1,64,1,1,3200,204800,0.5820,0.3518900343642612
fc,1,64,1,1,4096,262144,0.5840,0.44887671232876714
fc,64,640,1,1,64,2621440,0.4920,5.328130081300813
