layer,batch,channel,height,width,fpops,lat,gflops
htanh,1,256,1,1,256,0.0840,0.0030476190476190473
htanh,1,1024,1,1,1024,0.0820,0.01248780487804878
htanh,1,512,1,1,512,0.0770,0.00664935064935065
htanh,1,128,1,1,128,0.0760,0.0016842105263157893
htanh,1,2048,1,1,2048,0.0850,0.02409411764705882
htanh,1,32,1,1,32,0.0760,0.00042105263157894734
htanh,1,64,1,1,64,0.0780,0.0008205128205128205
htanh,1,4096,1,1,4096,0.0910,0.04501098901098901
