layer,batch,channel,height,width,fpops,lat,gflops
softmax,1,256,1,1,256,0.0860,0.002976744186046512
softmax,1,1024,1,1,1024,0.1680,0.0060952380952380945
softmax,1,512,1,1,512,0.1690,0.0030295857988165676
softmax,1,128,1,1,128,0.1670,0.0007664670658682634
softmax,1,2048,1,1,2048,0.1230,0.01665040650406504
softmax,1,32,1,1,32,0.1860,0.0001720430107526882
softmax,1,64,1,1,64,0.1660,0.0003855421686746988
softmax,1,4096,1,1,4096,0.1840,0.02226086956521739
