layer,batch,channel,height,width,fpops,lat,gflops
sig,1,256,1,1,256,0.1300,0.001969230769230769
sig,1,1024,1,1,1024,0.1700,0.006023529411764705
sig,1,512,1,1,512,0.1170,0.004376068376068376
sig,1,128,1,1,128,0.0820,0.0015609756097560974
sig,1,2048,1,1,2048,0.1220,0.01678688524590164
sig,1,32,1,1,32,0.1080,0.0002962962962962963
sig,1,64,1,1,64,0.0820,0.0007804878048780487
sig,1,4096,1,1,4096,0.1820,0.022505494505494505
