layer,batch,channel,height,width,fpops,lat,gflops
relu,1,48,28,28,37632,0.2930,0.1284368600682594
relu,1,128,56,56,401408,1.3190,0.3043275208491282
relu,1,96,55,55,290400,0.9600,0.3025
relu,1,3,227,227,154587,0.7880,0.19617639593908628
relu,1,16,96,96,147456,0.7110,0.20739240506329115
relu,1,512,14,14,100352,0.5550,0.1808144144144144
relu,1,64,64,64,262144,1.1800,0.22215593220338986
